Timestamp,Product Name,Category,Other Category Name,Product Description,Selling Price (₹),Compare-at Price / MRP (₹),Stock Quantity,Best Seller?,Material,Other Material,Colour / Finish,Size / Length,Occasion / Style,📸 Main Product Photo ( Upload the main product image used for the primary product listing image.),👤 Face / Worn Photo( Upload a face/worn/presentation photograph if available.),🖼️ Additional Product Photos ( Upload up to 3 additional product photographs.  ),Notes / Additional Details
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
25/08/2026 12:25:51,LONG RAANI HAAR,Jewellery Sets,,LONG RAANI HAAR BEADED WITH ARTIFICIAL BEADS WITH GOLD PLATED STONE WORK PENDANT,3500,4000,5,Yes,Brass / Copper Base,,MAROON COLOUR WITH GOLD FINISH,15 CM,Festival & Traditional,https://drive.google.com/open?id=1QQXl2C6uL09llXP9kxkWwtQzSexE--na,https://drive.google.com/open?id=1_v1tYhM1w1kd-gc-8CfcPXU1yhhjl1MW,https://drive.google.com/open?id=1gf3A8vdDs_VNU2I9aOfQfYBmfEVFuPdn,
25/08/2026 12:36:17,CHOKER SET WITH EARRINGS,Necklaces & Pendants,,A BEAUTIFUL CHOKER SET IN MULTICOLORED STONES CRAFTED WITH GOLD FINISH WORK,1500,2000,5,Yes,Brass / Copper Base,,MULTICOLORED STONES,5 CM,Festival & Traditional,https://drive.google.com/open?id=1tPtC32n_4mt0pcKKAKONTY6oe4WJPlGQ,https://drive.google.com/open?id=1ZCtI3ooP4xeVvqFCVnF99_eRO7MLcAqe,https://drive.google.com/open?id=1ofAy3hE-SHtW3EDAQb-c6X7tYiiXm0ov,"THIS JEWELLERY SET CONSIST OF A NECKLACE AND A PAIR OF EARRINGS, GOLD TONED CHOKER NECKLACE SET. WIPE YOUR JEWELLERY WITH A SOFT CLOTH AFTER EVERY USE. ALWAYS STORE YOUR JEWELLERY IN A FLAT BOX TO AVOID SCRATCHES. KEEP AWAY SPRAYS & PERFUMES FROM YOUR JEWELLERY"
25/08/2026 13:39:30,PEARL NECKLACE SET,Jewellery Sets,,A VERY ELEGANT PIECE OF NECKLACE BEADED WITH ARTIFICIAL PEARL ADDED WITH ZIRCONIA ,1200,2000,5,Yes,Pearl / Freshwater Pearl,,PEARL AND ZIRCONIA COMBINATION,FREE SIZE,Festival & Traditional,https://drive.google.com/open?id=1VqRFh53gDjeb-6Z0iku-1j6B_W-VpUC6,https://drive.google.com/open?id=15MASfqDtcXuYCqcAvGPIePpOqDzEQFAS,https://drive.google.com/open?id=1r9iQFJ0WDba09vymaTKFGn37pe3KeEr9,"WIPE YOUR JEWELLERY WITH A SOFT CLOTH AFTER EVERY USE. ALWAYS STORE YOUR JEWELLERY IN A FLAT BOX TO AVOID SCRATCHES. KEEP AWAY SPRAYS & PERFUMES FROM YOUR JEWELLERY. DO NOT SOAK YOUR JEWELLERY IN WATER. CLEAN YOUR JEWELLERY USING A SOFT BRUSH, DIPPED IN JEWELLERY CLEANING SOLUTION ONLY, IF NEEDED."
25/08/2026 13:55:25,ANTIQUE GOLD PLATED NECKLACE SET WITH EARRINGS,Jewellery Sets,,GOLD PLATED BRASS NECKLACE SET IN MINAKARI WORK WITH RED & GREEN SMALL STONES,2200,2500,2,Yes,Alloy / Mixed Metal,, GOLD PLATED BRASS METAL ,FREE SIZE,Bridal & Wedding,https://drive.google.com/open?id=17WUI2v-gEmdUxIWc2OO4eh-BQR765bjQ,https://drive.google.com/open?id=157K2m-TKxNk5WyXI_LGDosI0gKxsy9BP,https://drive.google.com/open?id=1ZHFtVIRyIsMmn159WzReE9FvQz4LnCdl,"WIPE YOUR JEWELLERY WITH A SOFT CLOTH AFTER EVERY USE. ALWAYS STORE YOUR JEWELLERY IN A FLAT BOX TO AVOID SCRATCHES. KEEP AWAY SPRAYS & PERFUMES FROM YOUR JEWELLERY. DO NOT SOAK YOUR JEWELLERY IN WATER. CLEAN YOUR JEWELLERY USING A SOFT BRUSH, DIPPED IN JEWELLERY CLEANING SOLUTION ONLY, IF NEEDED."
25/08/2026 14:03:41,CZ NECKLACE SET WITH EARRINGS,Necklaces & Pendants,,RHODIUM PLATED CZ STONES MINT GREEN AND PINK COLOUR,1850,2200,5,Yes,CZ / Cubic Zirconia / American Diamond,,CZ NECKLACE SET ,FREE SIZE,Festival & Traditional,https://drive.google.com/open?id=1pUtmXiqSNrZLV1oQtbeBlHyVLdyyE2cR,https://drive.google.com/open?id=1cMq-4qzB-mDZZtzN5XRDengP8N0pzwkX,https://drive.google.com/open?id=1QGVeDoPnOMoT0pzQkdCINSXT2Bq1J9FT,"WIPE YOUR JEWELLERY WITH A SOFT CLOTH AFTER EVERY USE. ALWAYS STORE YOUR JEWELLERY IN A FLAT BOX TO AVOID SCRATCHES. KEEP AWAY SPRAYS & PERFUMES FROM YOUR JEWELLERY. DO NOT SOAK YOUR JEWELLERY IN WATER. CLEAN YOUR JEWELLERY USING A SOFT BRUSH, DIPPED IN JEWELLERY CLEANING SOLUTION ONLY, IF NEEDED."
25/08/2026 14:21:51,GOLD PLATED CZ NECKLACE SET WITH EARRINGS,Necklaces & Pendants,,AN ELEGANT PIECE OF NECKLACE SET IN GOLD PLATED C ZIRCONIA STONES & RUBY RED STONES,850,1000,5,Yes,CZ / Cubic Zirconia / American Diamond,,GOLD PLATED CZ WHITE & RUBY RED,6 CM,Festival & Traditional,https://drive.google.com/open?id=1jiYpE7XHn088f5e7M1T2MPEKT57kBDC9,https://drive.google.com/open?id=1Q090M4mtd7a19rfzVeBHNVdsKX4G3xl1,https://drive.google.com/open?id=1FAPBDVAuAn_t0qOMWsd7_xQMK-ahf_W-,"WIPE YOUR JEWELLERY WITH A SOFT CLOTH AFTER EVERY USE. ALWAYS STORE YOUR JEWELLERY IN A FLAT BOX TO AVOID SCRATCHES. KEEP AWAY SPRAYS & PERFUMES FROM YOUR JEWELLERY. DO NOT SOAK YOUR JEWELLERY IN WATER. CLEAN YOUR JEWELLERY USING A SOFT BRUSH, DIPPED IN JEWELLERY CLEANING SOLUTION ONLY, IF NEEDED.
"
25/08/2026 14:31:35,ARTIFICIAL PEARL NECKLACE SET WITH EARRING,Necklaces & Pendants,,LIGHT WEIGHT ARTIFICIAL PEARLS IN LEAF STYLE IN TWO COLOURS NECKLACE SET,950,1200,5,Yes,Pearl / Freshwater Pearl,,ARTIFICIAL PEARL LEAF DESIGN,8 CM,Party Wear,https://drive.google.com/open?id=1bc3KnryavhAXFEBWksPhSBENecZt5iid,https://drive.google.com/open?id=1rMU9XVIIfY6OdTWjnlZgSXIT1Aig7_Xb,https://drive.google.com/open?id=1mpXkEnNpcGO8RA_NktimuSTxgv6xDL5d,"WIPE YOUR JEWELLERY WITH A SOFT CLOTH AFTER EVERY USE. ALWAYS STORE YOUR JEWELLERY IN A FLAT BOX TO AVOID SCRATCHES. KEEP AWAY SPRAYS & PERFUMES FROM YOUR JEWELLERY. DO NOT SOAK YOUR JEWELLERY IN WATER. CLEAN YOUR JEWELLERY USING A SOFT BRUSH, DIPPED IN JEWELLERY CLEANING SOLUTION ONLY, IF NEEDED."
25/08/2026 16:06:34,GOLD PLATED STONE WORK CHOKER SET,Necklaces & Pendants,,GOLD PLATED CHOKER SET WITH PINK COLOUR STONES,1500,2000,5,Yes,Brass / Copper Base,,GOLD FINISH WITH STONES,FREE SIZE,Bridal & Wedding,https://drive.google.com/open?id=1WLADf5twsg3eG6ZhI5oEEKC9Q-3hGkgg,https://drive.google.com/open?id=1CCKX-ZBQf9--HhEErqnZenZW2yIexnJG,https://drive.google.com/open?id=1ImCWbdHidG5DXTCkZYE3LgIv4EPgkOjp,"WIPE YOUR JEWELLERY WITH A SOFT CLOTH AFTER EVERY USE. ALWAYS STORE YOUR JEWELLERY IN A FLAT BOX TO AVOID SCRATCHES. KEEP AWAY SPRAYS & PERFUMES FROM YOUR JEWELLERY. DO NOT SOAK YOUR JEWELLERY IN WATER. CLEAN YOUR JEWELLERY USING A SOFT BRUSH, DIPPED IN JEWELLERY CLEANING SOLUTION ONLY, IF NEEDED.
"
